flight_number,origin_station_code,destination_station_code,record_locator,arrival_delay_minutes,passenger_class,number_of_legs,loyalty_program_level,generation,fleet_type_description,actual_flown_miles,food_satisfaction_score,feedback_ID
92,TLX,EWX,P9XXP1,-28,Economy,1,premier silver,Boomer,B787-10,5692,1,F_56
1527,PUX,EWX,HNXXBV,-21,Economy,1,non-elite,Gen X,B737-900,1563,4,F_57
1991,EWX,PDX,E9XXXB,-28,Economy,1,non-elite,Boomer,B737-MAX9,2433,2,F_58
5301,DEX,SAX,PEXXSV,0,Economy,2,premier gold,Gen X,ERJ-175,853,5,F_59
412,DEX,LGX,BCXX4J,-19,Economy,1,non-elite,Boomer,B737-800,1619,3,F_60
5613,SFX,SMX,KZXXGE,-7,Economy,2,non-elite,Silent,ERJ-175,86,1,F_61
263,DEX,LHX,GRXXH0,22,Economy,1,non-elite,Millennial,B787-9,4671,5,F_62
38,EDX,EWX,EXXXWE,-36,Economy,2,non-elite,Boomer,B757-200,3269,5,F_63
1731,LAX,MCX,MVXXTF,-14,Economy,2,non-elite,Boomer,A320-200,2217,1,F_64
330,DEX,BNX,NSXX4Q,-7,Economy,1,non-elite,Boomer,A320-200,1013,5,F_65
24,EWX,DUX,MTXXTY,11,Economy,1,non-elite,Boomer,B767-400,3193,1,F_66
1142,HNX,SFX,CWXX96,-24,Economy,2,non-elite,Gen X,B777-200,2399,3,F_67
5246,ABX,ORX,DZXX8R,-21,Economy,1,non-elite,Silent,ERJ-175,654,4,F_68
1531,PHX,SFX,HZXXZJ,8,Economy,1,premier 1k,Gen X,A319-100,651,2,F_69
2236,SFX,MSX,CXXXWF,-3,Economy,2,non-elite,Gen X,A319-100,1911,3,F_70
3452,MKX,EWX,CQXXB1,27,Economy,1,non-elite,Gen X,ERJ-175,725,2,F_71
1416,DEX,IAX,M9XXDK,-19,Economy,2,non-elite,Boomer,B737-800,861,2,F_72
2108,LAX,ORX,IGXX5G,-13,Economy,1,non-elite,Boomer,B737-800,1515,3,F_73
1853,IAX,MTX,PQXXVE,-8,Economy,1,non-elite,Gen X,A319-100,411,3,F_74
2608,LAX,IAX,O9XX4X,5,Economy,1,non-elite,Boomer,B737-800,2288,4,F_75
688,EWX,IAX,MGXX6H,104,Economy,1,premier 1k,Gen X,B767-300,1400,2,F_76
405,DEX,IAX,PSXX3B,-19,Economy,1,premier silver,Gen X,B777-200,861,4,F_77
337,CVX,ORX,I0XXLN,7,Economy,2,non-elite,Boomer,B737-800,264,1,F_78
991,SFX,CDX,PPXX28,111,Economy,1,premier silver,Gen X,B777-200,5583,3,F_79
1049,EWX,CUX,H7XXC4,-20,Economy,1,non-elite,Gen X,B737-900,1547,5,F_80
2128,DEX,ATX,L4XX76,-4,Economy,2,non-elite,Boomer,B737-900,1199,4,F_81
1721,DEX,RAX,PTXXTD,-17,Economy,2,non-elite,Gen X,A319-100,301,1,F_82
2066,MCX,IAX,G8XXD3,2,Economy,1,non-elite,Boomer,B737-700,758,3,F_83
5897,STX,DEX,FGXX74,-17,Economy,2,non-elite,Boomer,ERJ-175,770,3,F_84
925,IAX,LHX,A1XXH9,7,Economy,1,non-elite,Silent,B767-300,3677,5,F_85
3537,EWX,PVX,NLXX60,-10,Economy,1,non-elite,Gen X,ERJ-175,160,1,F_86
4768,DEX,TUX,BXXXKJ,4,Economy,2,non-elite,Gen X,ERJ-175,639,3,F_87
296,DEX,GEX,DHXX7N,-6,Economy,2,non-elite,Boomer,A319-100,836,2,F_88
1797,EWX,ORX,G6XX7P,-22,Economy,2,non-elite,Boomer,B737-800,719,1,F_89
4629,DEX,CVX,N6XXEM,-19,Economy,1,non-elite,Gen X,ERJ-175,1069,4,F_90
1830,EWX,SFX,BBXXYP,-50,Economy,1,non-elite,Boomer,B777-200,2565,4,F_91
1165,MSX,IAX,F8XXN1,0,Economy,2,non-elite,Millennial,B737-900,1034,1,F_92
3582,SAX,IAX,AEXXR5,-10,Economy,1,non-elite,Gen X,ERJ-175,515,5,F_93
5492,PNX,ORX,MCXXCT,-2,Economy,1,non-elite,Millennial,ERJ-175,794,5,F_94
2152,PDX,DEX,J5XX3M,-17,Economy,1,non-elite,Boomer,A320-200,992,2,F_95
3,SIX,SFX,FYXXQH,42,Economy,2,non-elite,Millennial,B787-9,8440,2,F_96
2684,ORX,SAX,P0XX4E,-39,Economy,1,non-elite,Boomer,B737-900,1723,4,F_97
2403,LGX,DEX,ABXXHE,-7,Economy,1,non-elite,Boomer,B737-800,1619,3,F_98
1040,AUX,EWX,NXXXV7,-2,Economy,1,non-elite,Boomer,B737-900,1958,3,F_99
977,EWX,SNX,D8XX13,-8,Economy,1,non-elite,Millennial,B757-200,3096,2,F_100
51,MAX,EWX,B9XX70,-37,Economy,1,global services,Boomer,B767-400,3607,1,F_101
1759,DEX,KOX,NXXXQJ,5,Economy,1,non-elite,Gen X,B757-200,3331,5,F_102
2633,EWX,SFX,GYXX6H,-46,Economy,1,non-elite,Millennial,B777-300,2565,5,F_103
4678,CVX,ORX,L4XX1V,-20,Economy,1,non-elite,Gen X,ERJ-175,264,2,F_104
2315,IAX,QRX,K3XXKN,38,Economy,2,non-elite,Millennial,B737-700,717,3,F_105
323,BOX,DEX,D5XXKC,-16,Economy,2,premier platinum,Boomer,B737-900,649,3,F_106
950,LHX,SFX,G0XX8N,-21,Economy,1,non-elite,Boomer,B777-200,5368,4,F_107
567,IAX,CVX,MNXX73,-9,Economy,1,non-elite,Gen X,A319-100,871,5,F_108
2309,IAX,SJX,IYXXPP,7,Economy,1,non-elite,Gen X,B737-800,1608,5,F_109
1909,IAX,LAX,B9XXX7,-13,Economy,2,non-elite,Gen X,B737-900,1379,3,F_110
1817,DEX,CLX,AMXXTQ,-1,Economy,2,premier platinum,Boomer,B737-900,1201,2,F_111
718,IAX,DEX,ESXX62,-5,Economy,3,non-elite,Boomer,B777-200,1452,3,F_112
797,IAX,LAX,MYXX1Y,-33,Economy,1,non-elite,Gen X,B737-900,2066,5,F_113
1431,OGX,DEX,IQXX21,-10,Economy,1,non-elite,Millennial,B757-200,3303,3,F_114
1094,DEX,LAX,DBXXPG,-9,Economy,2,premier gold,Silent,B757-300,862,2,F_115
1133,CUX,DEX,DRXXXS,4,Economy,1,non-elite,Boomer,B737-900,1669,1,F_116
1104,DEX,BOX,MLXXFW,61,Economy,2,non-elite,Boomer,B737-900,1754,1,F_117
1174,SJX,EWX,J3XX0K,-16,Economy,1,non-elite,Boomer,B767-400,1608,2,F_118
1503,EWX,ORX,DFXXQW,107,Economy,1,premier platinum,Boomer,B757-200,719,2,F_119
2650,ORX,LAX,MHXXNF,-17,Economy,1,non-elite,Millennial,B757-300,1745,5,F_120
1775,ORX,EWX,B1XXZE,-11,Economy,1,premier silver,Millennial,B737-700,719,4,F_121
1406,BZX,IAX,JMXXKP,-23,Economy,2,non-elite,Boomer,B737-800,965,3,F_122
2495,IAX,EWX,IVXXFY,-8,Economy,2,non-elite,Gen X,B737-800,1400,3,F_123
188,JNX,EWX,MTXX04,-22,Economy,1,non-elite,Boomer,B787-9,7989,4,F_124
872,SFX,TPX,J3XXJ6,-17,Economy,2,non-elite,Boomer,B777-300,6469,5,F_125
86,TLX,EWX,N0XX14,27,Economy,1,non-elite,Gen Z,B787-10,5692,3,F_126
886,FCX,IAX,LHXXMX,-5,Economy,1,non-elite,Boomer,B787-8,4505,4,F_127
845,GRX,ORX,D4XX13,-10,Economy,1,non-elite,Gen Z,B787-9,5222,2,F_128
287,CLX,DEX,M2XXBQ,-21,Economy,2,non-elite,Boomer,B737-800,1201,2,F_129
1868,CZX,IAX,DLXXZY,1,Economy,1,non-elite,Silent,B737-800,837,2,F_130
1972,SFX,SLX,GBXXGE,6,Economy,1,non-elite,Gen X,A320-200,599,1,F_131
60,FRX,SFX,MFXXKM,29,Economy,1,non-elite,Boomer,B777-300,5700,1,F_132
1887,EWX,SNX,CMXX4Y,-18,Economy,2,non-elite,Boomer,B737-700,2433,3,F_133
276,EWX,SFX,O7XXBF,-37,Economy,1,premier silver,Gen X,B777-200,2565,3,F_134
1497,FLX,EWX,FFXX63,-3,Economy,1,non-elite,Gen X,B737-MAX8,1065,3,F_135
2100,ORX,SFX,A4XXT2,-18,Economy,1,non-elite,Boomer,B737-900,1846,5,F_136
2178,PDX,ORX,DKXXBX,-27,Economy,2,non-elite,Boomer,B737-MAX9,1739,4,F_137
330,DEX,BNX,H5XX2S,38,Economy,1,premier 1k,Gen X,A320-200,1013,5,F_138
969,SFX,AMX,N7XXTD,-6,Economy,1,premier gold,Millennial,B787-9,5473,1,F_139
2173,PHX,EWX,DEXXQD,-2,Economy,1,non-elite,Gen X,B737-MAX8,2133,3,F_140
1967,MSX,EWX,G0XXTL,-22,Economy,1,non-elite,Gen X,A320-200,1167,5,F_141
362,DEX,BOX,H5XX9T,1,Economy,1,non-elite,Boomer,B737-MAX9,1754,3,F_142
1688,MSX,SFX,M7XXPK,-23,Economy,1,non-elite,Silent,A320-200,1911,3,F_143
956,TLX,SFX,PWXXFC,0,Economy,1,premier platinum,Gen X,B777-200,7421,2,F_144
914,KEX,ORX,LFXXB4,67,Economy,1,non-elite,Boomer,B757-200,2944,3,F_145
5524,ORX,ABX,PFXXSN,-19,Economy,1,non-elite,Boomer,ERJ-175,654,5,F_146
263,DEX,LHX,P9XX0S,-13,Economy,1,premier silver,Millennial,B787-9,4671,1,F_147
1130,DSX,DEX,K4XXNL,5,Economy,1,non-elite,Boomer,B737-900,589,2,F_148
399,FAX,ORX,GJXXRP,-5,Economy,1,non-elite,Boomer,B737-MAX9,2785,1,F_149
2178,PDX,ORX,P1XX6B,-20,Economy,1,non-elite,Boomer,B737-MAX9,1739,3,F_150
565,DEX,EWX,I3XXCX,-11,Economy,1,non-elite,Boomer,B737-900,1605,3,F_151
1479,DEX,MSX,F4XXF2,-17,Economy,1,premier silver,Millennial,A320-200,1062,5,F_152
2602,DEX,RSX,B7XXT7,-6,Economy,1,non-elite,Silent,B737-MAX9,1606,2,F_153
819,EZX,IAX,N2XXVP,-7,Economy,2,non-elite,Gen X,B777-200,5062,3,F_154
2231,ORX,DFX,I9XXHS,-3,Economy,1,non-elite,Millennial,A319-100,802,5,F_155
83,EWX,DEX,J2XXYH,3,Economy,2,non-elite,Boomer,B787-9,7323,1,F_156
1916,IAX,LGX,DDXXYM,-14,Economy,1,non-elite,Gen X,A319-100,1416,5,F_157
4715,DEX,RAX,BQXXFN,-20,Economy,2,non-elite,Gen X,ERJ-175,301,2,F_158
125,EWX,ATX,O4XXH2,-26,Economy,1,non-elite,Boomer,B787-10,4948,2,F_159
2475,ORX,DEX,EQXX1P,-19,Economy,1,premier 1k,Boomer,B777-200,888,1,F_160
417,ORX,MXX,HTXXSP,-16,Economy,1,non-elite,Boomer,B787-8,4523,1,F_161
57,CDX,EWX,ERXX7G,-12,Economy,1,non-elite,Boomer,B777-300,3649,2,F_162
3531,PIX,IAX,IEXXEB,7,Economy,2,non-elite,Millennial,ERJ-175,183,1,F_163
385,DEX,HNX,GBXXJG,-28,Economy,2,non-elite,Boomer,B777-200,3365,1,F_164
872,SFX,TPX,HMXX99,-17,Economy,1,non-elite,Boomer,B777-300,6469,5,F_165
961,EWX,FRX,CPXXFP,17,Economy,1,non-elite,Millennial,B777-300,3870,1,F_166
856,LIX,IAX,NCXX4G,-12,Economy,1,premier gold,Boomer,B767-300,3133,4,F_167
28,DEX,LHX,GSXXLC,-16,Economy,1,non-elite,Boomer,B787-9,4671,3,F_168
363,HNX,EWX,PQXXPR,-9,Economy,1,non-elite,Gen X,B777-200,4962,3,F_169
2680,DEX,ORX,GXXXM8,-1,Economy,1,non-elite,Gen X,B777-200,888,4,F_170
1298,LAX,EWX,ASXXZW,-40,Economy,1,premier silver,Boomer,B737-MAX8,2227,3,F_171
2190,SMX,IAX,AVXXBM,-16,Economy,1,non-elite,Boomer,B737-900,1609,3,F_172
2493,SEX,IAX,O5XXD1,22,Economy,1,premier platinum,Boomer,B737-900,2306,1,F_173
2401,BOX,SFX,DKXXYR,-19,Economy,1,premier gold,Boomer,B737-MAX9,2704,1,F_174
6095,IAX,MSX,CKXX13,-16,Economy,2,non-elite,Gen X,ERJ-175,1034,4,F_175
2622,PIX,IAX,BJXXQJ,-2,Economy,1,premier gold,Gen X,B737-MAX8,1117,2,F_176
789,EWX,SFX,LGXXWT,-4,Economy,1,non-elite,Gen X,B777-200,2565,5,F_177
1883,IAX,LAX,JGXX94,10,Economy,1,non-elite,Boomer,B737-900,1222,5,F_178
1609,SEX,ORX,IMXXHG,-15,Economy,1,non-elite,Boomer,B737-MAX9,1721,3,F_179
86,TLX,EWX,G0XXM2,-15,Economy,1,non-elite,Gen X,B787-10,5692,2,F_180
502,MCX,EWX,PPXX99,-25,Economy,1,premier silver,Gen X,B737-800,938,3,F_181
42,FCX,EWX,L3XX2Y,11,Economy,1,premier silver,Gen X,B777-300,4292,1,F_182
1632,ORX,IAX,DTXX6K,-25,Economy,2,non-elite,Boomer,B757-300,925,1,F_183
2608,LAX,IAX,AZXXEF,-10,Economy,1,premier gold,Boomer,B737-800,2288,3,F_184
940,LHX,SFX,GTXXM9,21,Economy,1,non-elite,Millennial,B787-9,5368,1,F_185
2045,MIX,EWX,D0XXMB,5,Economy,1,non-elite,Boomer,B737-MAX8,1086,3,F_186
628,DEX,EWX,GBXXWW,-4,Economy,1,non-elite,Gen X,B737-900,1605,2,F_187
944,LIX,IAX,O9XX0C,-22,Economy,2,non-elite,Millennial,B757-200,3592,1,F_188
6033,ICX,IAX,JCXX40,-11,Economy,2,non-elite,Millennial,ERJ-175,542,3,F_189
6116,JAX,IAX,J5XXWX,-9,Economy,1,premier silver,Gen X,ERJ-175,817,4,F_190
1517,LIX,IAX,LVXXY5,-21,Economy,2,non-elite,Millennial,B737-800,1476,1,F_191
264,LHX,DEX,CHXXY6,81,Economy,2,non-elite,Millennial,B787-9,4671,2,F_192
1194,IAX,IAX,NGXXL3,-3,Economy,1,non-elite,Boomer,B767-400,1190,5,F_193
219,HNX,ORX,CMXX6Y,-10,Economy,1,premier gold,Boomer,B787-10,4244,4,F_194
1294,DFX,EWX,GBXXNR,3,Economy,2,non-elite,Boomer,B737-700,1372,4,F_195
1754,EWX,SAX,M6XXPX,-31,Economy,1,non-elite,Boomer,B737-MAX8,2425,4,F_196
2448,RSX,EWX,IEXXLW,-22,Economy,1,premier gold,Boomer,B737-MAX8,1068,2,F_197
633,IAX,LAX,L5XX3F,7,Economy,1,premier 1k,Boomer,B737-900,2288,2,F_198
236,ORX,DEX,FNXXXD,1,Economy,2,non-elite,Gen X,B737-900,888,4,F_199
414,IAX,MCX,PGXXWP,21,Economy,2,non-elite,Boomer,B737-MAX8,853,1,F_200
2060,SFX,EWX,IMXXJQ,8,Economy,2,non-elite,Boomer,B777-200,2565,2,F_201
989,FRX,IAX,C3XX2H,-12,Economy,1,non-elite,Gen X,B777-300,4082,2,F_202
1642,IAX,SFX,A9XX65,-10,Economy,2,non-elite,Boomer,B777-300,2419,3,F_203
1907,LGX,ORX,H0XXV6,-5,Economy,1,premier gold,Gen X,A320-200,733,1,F_204
433,ATX,EWX,PYXXRV,-8,Economy,1,non-elite,Gen X,A319-100,745,2,F_205
970,AMX,SFX,BEXXYZ,23,Economy,1,premier silver,Gen X,B787-9,5473,1,F_206
691,DEX,SEX,K4XXL3,-5,Economy,2,premier gold,Millennial,B737-MAX8,1024,3,F_207
3684,EWX,BOX,DBXX0E,-10,Economy,1,premier 1k,Gen X,ERJ-175,200,3,F_208
1247,JAX,DEX,OSXXMW,1,Economy,2,non-elite,Gen X,A320-200,406,3,F_209
1528,SEX,ORX,G7XX3J,-19,Economy,1,premier gold,Gen X,B737-900,1721,4,F_210
4172,EWX,DCX,M8XX4T,16,Economy,2,premier silver,Millennial,CRJ-550,199,1,F_211
507,MSX,DEX,NVXXE5,-21,Economy,1,non-elite,Gen X,A320-200,826,5,F_212
1474,SDX,EWX,EBXXZJ,-9,Economy,1,non-elite,Gen X,B737-900,1557,5,F_213
484,DEX,CIX,DZXXXG,-9,Economy,2,non-elite,Gen X,B737-800,692,2,F_214
1247,JAX,DEX,FPXXK4,6,Economy,2,premier silver,Boomer,A320-200,406,3,F_215
1206,KOX,LAX,IKXXET,-19,Economy,1,non-elite,Boomer,B737-900,2505,3,F_216
371,EWX,LAX,BNXX6M,-23,Economy,1,non-elite,Boomer,B737-900,2227,3,F_217
1460,POX,IAX,L4XXMW,134,Economy,1,non-elite,Gen X,B737-800,2562,1,F_218
1736,LAX,EWX,BSXXH8,2,Economy,1,premier gold,Gen X,B737-800,2227,4,F_219
281,DEX,ANX,P3XXZE,-8,Economy,2,premier silver,Boomer,B737-800,2405,1,F_220
2605,EWX,SAX,MEXXKZ,-6,Economy,1,non-elite,Gen X,B737-700,1569,4,F_221
1619,CLX,IAX,P9XXSQ,-14,Economy,1,non-elite,Gen X,B737-700,913,4,F_222
349,OGX,ORX,JNXX9Y,-7,Economy,1,premier platinum,Boomer,B787-9,4184,2,F_223
751,YYX,IAX,DYXX6H,-20,Economy,1,premier gold,Gen X,B737-900,1747,2,F_224
633,IAX,LAX,BEXXWL,7,Economy,2,non-elite,Millennial,B737-900,2288,2,F_225
1251,LAX,SFX,BMXXH4,-4,Economy,1,premier gold,Boomer,B757-200,337,1,F_226
2122,IAX,SNX,JFXXG2,-16,Economy,2,premier gold,Silent,B737-800,1347,5,F_227
509,BOX,IAX,BTXXHQ,3,Economy,1,non-elite,Gen X,B737-700,2222,1,F_228
761,DEX,MUX,J1XXK2,27,Economy,1,non-elite,Millennial,B787-9,5225,3,F_229
1514,SFX,SNX,FWXXC6,6,Economy,1,premier gold,Gen X,B737-800,372,2,F_230
3563,IAX,SAX,E7XX4Q,-8,Economy,1,non-elite,Boomer,ERJ-170,515,4,F_231
1500,EWX,LAX,BPXXLJ,2,Economy,1,non-elite,Boomer,B787-10,2454,5,F_232
51,MAX,EWX,CEXXP5,-5,Economy,1,non-elite,Gen X,B767-400,3607,5,F_233
2424,YVX,SFX,AYXXKN,-12,Economy,3,non-elite,Boomer,A319-100,800,4,F_234
1653,YVX,EWX,FJXX79,18,Economy,1,non-elite,Boomer,B737-700,2429,1,F_235
65,EWX,LIX,NGXXVD,2,Economy,1,non-elite,Boomer,B787-10,3385,1,F_236
1179,TPX,SFX,J1XXXV,-11,Economy,1,non-elite,Boomer,B737-MAX9,2392,2,F_237
3703,ORX,DCX,H8XXV4,-15,Economy,2,premier silver,Boomer,ERJ-170,612,2,F_238
459,EWX,SNX,GNXXJE,-17,Economy,1,non-elite,Boomer,B737-700,2433,3,F_239
871,SYX,SFX,DEXXWW,9,Economy,3,non-elite,Gen X,B777-300,7417,5,F_240
252,BWX,LAX,D0XXFL,-33,Economy,1,non-elite,Gen X,B737-800,2329,3,F_241
1108,SAX,SFX,K2XX6D,8,Economy,1,premier 1k,Millennial,A320-200,447,4,F_242
3480,YQX,EWX,GQXXEE,-7,Economy,1,non-elite,Boomer,ERJ-175,443,4,F_243
500,LAX,IAX,FLXXNQ,-22,Economy,1,premier silver,Gen X,B737-900,2288,4,F_244
272,BGX,EWX,PJXX2J,-19,Economy,1,premier silver,Boomer,B757-200,3501,1,F_245
2604,LAX,SFX,HGXX5M,-7,Economy,2,premier 1k,Gen X,A320-200,337,2,F_246
2653,SFX,BOX,NVXXFY,-6,Economy,1,non-elite,Boomer,B737-MAX9,2704,2,F_247
128,DUX,IAX,JKXXKM,-39,Economy,1,non-elite,Silent,B767-400,3405,5,F_248
1606,LAX,BWX,D5XXXF,-3,Economy,1,non-elite,Millennial,B737-MAX9,2329,1,F_249
386,EWX,DBX,E8XX2J,-21,Economy,1,non-elite,Boomer,B767-300,4526,3,F_250
1083,LAX,EWX,ORXXDB,-8,Economy,2,premier platinum,Boomer,B787-10,2454,3,F_251
2104,PDX,ORX,HQXXFQ,-20,Economy,3,premier gold,Boomer,B737-MAX9,1739,1,F_252
2398,MCX,EWX,PWXXKG,42,Economy,1,non-elite,Millennial,B737-900,938,1,F_253
85,EWX,TLX,C9XXNL,8,Economy,1,premier gold,Gen X,B787-10,5692,1,F_254
1237,EWX,PHX,K1XXSS,-44,Economy,1,non-elite,Millennial,B737-MAX8,2133,4,F_255
1798,IAX,YVX,B1XXL1,4,Economy,2,non-elite,Millennial,B737-900,1971,4,F_256
955,SFX,TLX,F2XXEW,22,Economy,2,non-elite,Millennial,B777-200,7421,1,F_257
509,BOX,IAX,D9XXQ8,-8,Economy,1,non-elite,Boomer,B737-700,2222,2,F_258
1128,ORX,SFX,G5XXTL,-38,Economy,1,premier silver,Boomer,B737-900,1846,5,F_259
298,ATX,IAX,A8XXHH,145,Economy,1,premier 1k,Gen X,A320-200,689,4,F_260
5506,ASX,DEX,MFXX1M,76,Economy,2,non-elite,Boomer,CRJ-700,126,1,F_261
2048,SFX,SNX,MRXXC1,-7,Economy,2,premier silver,Gen X,B737-800,372,2,F_262
2015,PHX,DEX,GDXXVX,-6,Economy,1,non-elite,Boomer,B737-900,602,1,F_263
926,LHX,IAX,OBXX5M,-48,Economy,1,premier platinum,Millennial,B767-300,3677,1,F_264
4428,BUX,EWX,IYXX26,-10,Economy,2,non-elite,Boomer,CRJ-550,282,2,F_265
139,EWX,KEX,N1XXGF,0,Economy,1,non-elite,Millennial,B757-200,2601,2,F_266
1188,BOX,SFX,MKXX1L,-15,Economy,1,non-elite,Boomer,B737-MAX9,2704,2,F_267
598,EWX,LAX,OSXX63,-8,Economy,1,non-elite,Gen X,B737-900,2227,4,F_268
2136,EWX,MCX,I7XXY6,-23,Economy,1,non-elite,Boomer,B737-800,938,3,F_269
1469,SAX,IAX,O7XXZT,-22,Economy,1,non-elite,Boomer,B737-900,1189,1,F_270
894,SFX,ICX,GRXXZY,-35,Economy,1,premier 1k,Gen X,B787-9,5659,1,F_271
913,ORX,KEX,NHXXYN,2,Economy,2,non-elite,Millennial,B757-200,2944,5,F_272
84,DEX,EWX,FJXX9R,4,Economy,1,non-elite,Gen X,B787-9,7323,1,F_273
